asset_to_trade_today,side_to_trade,entry_model,trades,days,win_pct,AvgR,PF,maxDD_R,max_loss_streak,totalR,max_trades_day
ES,BUY,REVERSAL BUY,11.0,11.0,81.81818181818183,1.6590909090909092,10.125,-1.0,1.0,18.25,1.0
ES,BUY,CONTINUATION BUY,18.0,18.0,44.44444444444444,0.7777777777777778,2.4,-7.0,7.0,14.0,1.0
ES,SELL,CONTINUATION SELL,15.0,15.0,53.333333333333336,1.1333333333333333,3.4285714285714284,-3.0,3.0,17.0,1.0
ES,SELL,REVERSAL SELL,8.0,8.0,50.0,0.71875,2.4375,-2.0,2.0,5.75,1.0
NQ,BUY,REVERSAL BUY,77.0,77.0,67.53246753246754,1.375180375180375,5.235555555555555,-2.0,2.0,105.88888888888889,1.0
NQ,BUY,CONTINUATION BUY,87.0,87.0,51.724137931034484,1.0527188328912467,3.1806318681318677,-3.0,3.0,91.58653846153845,1.0
NQ,SELL,CONTINUATION SELL,69.0,69.0,62.31884057971014,1.4927536231884058,4.961538461538462,-4.0,4.0,103.0,1.0
NQ,SELL,REVERSAL SELL,82.0,82.0,51.21951219512195,0.8079268292682927,2.65625,-4.0,4.0,66.25,1.0
YM,BUY,REVERSAL BUY,60.0,60.0,63.33333333333333,1.125,4.068181818181818,-3.0,3.0,67.5,1.0
YM,BUY,CONTINUATION BUY,40.0,40.0,52.5,1.1,3.3157894736842106,-4.0,4.0,44.0,1.0
YM,SELL,REVERSAL SELL,61.0,61.0,57.377049180327866,1.0778688524590163,3.5288461538461537,-4.0,4.0,65.75,1.0
YM,SELL,CONTINUATION SELL,39.0,39.0,46.15384615384615,0.8461538461538461,2.5714285714285716,-5.0,6.0,33.0,1.0
