playbook_window,entry_model,trades,days,win_pct,AvgR,PF,maxDD_R,max_loss_streak,totalR,max_trades_day
09:30-09:45_OPEN_PRESELECTED_CONFIRMATION,REVERSAL BUY,50.0,50.0,70.0,1.3027777777777778,5.342592592592593,-2.0,2.0,65.13888888888889,1.0
09:30-09:45_OPEN_PRESELECTED_CONFIRMATION,REVERSAL SELL,58.0,58.0,60.3448275862069,0.9956896551724138,3.510869565217391,-7.0,7.0,57.75,1.0
09:45-10:15_PRIMARY,CONTINUATION SELL,55.0,55.0,65.45454545454545,1.6181818181818182,5.684210526315789,-2.0,2.0,89.0,1.0
09:45-10:15_PRIMARY,CONTINUATION BUY,31.0,31.0,51.61290322580645,1.064516129032258,3.2,-4.0,4.0,33.0,1.0
09:45-10:15_PRIMARY,REVERSAL BUY,27.0,27.0,66.66666666666666,0.6759259259259259,3.0277777777777777,-2.25,2.0,18.25,1.0
09:45-10:15_PRIMARY,REVERSAL SELL,20.0,20.0,60.0,0.85,3.125,-3.0,3.0,17.0,1.0
10:15-11:00_RECHECK,CONTINUATION BUY,105.0,105.0,49.523809523809526,0.9674908424908424,2.9167271407837445,-5.0,4.0,101.58653846153845,1.0
10:15-11:00_RECHECK,REVERSAL BUY,66.0,66.0,63.63636363636363,1.5075757575757576,5.145833333333333,-4.0,4.0,99.5,1.0
10:15-11:00_RECHECK,REVERSAL SELL,70.0,70.0,48.57142857142857,0.9428571428571428,2.8333333333333335,-5.0,5.0,66.0,1.0
10:15-11:00_RECHECK,CONTINUATION SELL,59.0,59.0,47.45762711864407,0.8983050847457628,2.7096774193548385,-3.0,3.0,53.0,1.0
OTHER_AM_CONTEXT,CONTINUATION SELL,9.0,9.0,55.55555555555556,1.2222222222222223,3.75,-2.0,3.0,11.0,1.0
OTHER_AM_CONTEXT,CONTINUATION BUY,6.0,6.0,66.66666666666666,1.6666666666666667,6.0,-1.0,1.0,10.0,1.0
OTHER_AM_CONTEXT,REVERSAL BUY,2.0,2.0,100.0,1.875,inf,0.0,0.0,3.75,1.0
PREMARKET_CONTEXT_WAIT_945,CONTINUATION BUY,3.0,3.0,66.66666666666666,1.6666666666666667,6.0,0.0,1.0,5.0,1.0
PREMARKET_CONTEXT_WAIT_945,REVERSAL BUY,3.0,3.0,66.66666666666666,1.6666666666666667,6.0,-1.0,1.0,5.0,1.0
PREMARKET_CONTEXT_WAIT_945,REVERSAL SELL,3.0,3.0,0.0,-1.0,0.0,-2.0,3.0,-3.0,1.0
